Element, data.x, data.y, data.z, data.w
0, 0.83574, -0.03267, 0.54815, -86.56132
1, 0.01624, 0.99926, 0.0348, -7.90048
2, -0.54889, -0.02018, 0.83565, 27.36488
3, 0.90095, -0.06877, 0.42845, -69.20287
4, 0.02421, 0.99379, 0.10861, -19.0908
5, -0.43325, -0.08748, 0.89702, 16.95799
6, 0.92913, -0.07275, 0.36253, -59.1301
7, 0.02889, 0.99174, 0.12497, -21.68388
8, -0.36863, -0.10564, 0.92355, 12.30013
9, 0.95527, -0.06302, 0.28893, -47.26893
10, 0.03489, 0.99422, 0.10152, -17.89557
11, -0.29366, -0.0869, 0.95195, 7.38303
12, 0.99365, -0.07215, 0.08639, -13.12958
13, 0.06842, 0.99663, 0.04535, -8.12716
14, -0.08937, -0.03915, 0.99523, 0.38055
15, 0.99288, -0.06449, 0.10014, -15.42257
16, 0.06544, 0.99784, -0.00617, 0.2362
17, -0.09952, 0.01268, 0.99495, 0.02489
18, 0.99026, -0.06221, 0.12457, -19.5588
19, 0.06467, 0.99778, -0.01579, 1.8884
20, -0.12331, 0.02369, 0.99209, 0.59932
21, 0.96374, -0.11304, -0.2417, 39.22205
22, 0.05303, 0.9689, -0.24169, 31.26261
23, 0.26151, 0.22011, 0.93977, 12.63683
24, 0.96666, -0.07287, -0.24548, 39.80255
25, 0.06626, 0.99718, -0.03512, 2.41546
26, 0.24735, 0.01769, 0.96877, 8.31641
27, 0.98097, -0.07912, -0.1773, 29.96611
28, 0.0938, 0.99269, 0.076, -13.55342
29, 0.16999, -0.09118, 0.98122, 5.32367
30, 0.98915, -0.08634, -0.1189, 21.05076
31, 0.10002, 0.98839, 0.11438, -19.40181
32, 0.10764, -0.12503, 0.9863, 3.752
33, 0.9933, -0.08139, -0.08201, 15.14294
34, 0.08814, 0.99269, 0.0824, -14.37029
35, 0.0747, -0.08908, 0.99322, 2.27776
36, 0.98513, -0.09383, 0.14391, -22.41122
37, 0.09636, 0.99529, -0.01068, 0.66486
38, -0.14223, 0.02439, 0.98953, 1.1409
39, 0.99551, -0.07156, 0.06202, -9.05472
40, 0.07176, 0.99742, -0.00105, -0.67319
41, -0.06179, 0.0055, 0.99807, -1.06052
42, 0.96296, -0.13939, 0.23083, -36.00049
43, 0.15447, 0.98681, -0.0485, 5.97279
44, -0.22102, 0.08236, 0.97179, 4.95697
45, 0.98912, -0.05331, 0.13711, -21.55463
46, 0.05436, 0.99851, -0.00394, 0.18808
47, -0.1367, 0.01135, 0.99055, 0.97569
48, 0.99159, -0.0687, 0.10968, -16.99845
49, 0.07019, 0.99748, -0.00984, 0.83583
50, -0.10872, 0.01745, 0.99392, 0.21075
51, 0.98427, -0.05299, 0.16851, -26.59777
52, 0.04284, 0.99708, 0.06327, -10.79274
53, -0.17137, -0.05506, 0.98367, 2.93349
54, 0.97997, -0.0234, 0.19777, -31.29789
55, -0.00381, 0.99069, 0.13611, -21.66582
56, -0.19911, -0.13414, 0.97075, 5.68945
57, 0.88144, -0.42904, -0.19746, 31.70887
58, 0.43124, 0.9016, -0.03398, 4.12456
59, 0.1926, -0.0552, 0.97972, 2.00053
60, 0.00, 0.00, 0.00, 0.00
61, 0.00, 0.00, 0.00, 0.00
62, 0.00, 0.00, 0.00, 0.00
63, 0.00, 0.00, 0.00, 0.00
64, 0.00, 0.00, 0.00, 0.00
65, 0.00, 0.00, 0.00, 0.00
66, 0.00, 0.00, 0.00, 0.00
67, 0.00, 0.00, 0.00, 0.00
68, 0.00, 0.00, 0.00, 0.00
69, 0.00, 0.00, 0.00, 0.00
70, 0.00, 0.00, 0.00, 0.00
71, 0.00, 0.00, 0.00, 0.00
72, 0.00, 0.00, 0.00, 0.00
73, 0.00, 0.00, 0.00, 0.00
74, 0.00, 0.00, 0.00, 0.00
75, 0.00, 0.00, 0.00, 0.00
76, 0.00, 0.00, 0.00, 0.00
77, 0.00, 0.00, 0.00, 0.00
78, 0.00, 0.00, 0.00, 0.00
79, 0.00, 0.00, 0.00, 0.00
80, 0.00, 0.00, 0.00, 0.00
81, 0.00, 0.00, 0.00, 0.00
82, 0.00, 0.00, 0.00, 0.00
83, 0.00, 0.00, 0.00, 0.00
84, 0.00, 0.00, 0.00, 0.00
85, 0.00, 0.00, 0.00, 0.00
86, 0.00, 0.00, 0.00, 0.00
87, 0.00, 0.00, 0.00, 0.00
88, 0.00, 0.00, 0.00, 0.00
89, 0.00, 0.00, 0.00, 0.00
90, 0.00, 0.00, 0.00, 0.00
91, 0.00, 0.00, 0.00, 0.00
92, 0.00, 0.00, 0.00, 0.00
93, 0.00, 0.00, 0.00, 0.00
94, 0.00, 0.00, 0.00, 0.00
95, 0.00, 0.00, 0.00, 0.00
